public_name,parent_name,nested,address_911,acreage,property_classification,ppr_use,park_area,park_length
Conestoga Community Playground,Conestoga Community Playground,N,5300 MEDIA ST,2.45650337,PARK,RECREATION_SITE,16948.640625,716.063595939967
Dave Dougherty (Hetzell) Field,Dave Dougherty (Hetzell) Field,N,1301 E COLUMBIA AVE,2.46356186,PARK,SPORTS_COMPLEX,16995.84375,519.129443427576
Bernard Samuel Playground,Bernard Samuel Playground,N,3539 GAUL ST,2.43285843,PARK,RECREATION_SITE,16793.01953125,510.011526733535
Frank JG Dorsey Memorial Playground,Frank JG Dorsey Memorial Playground,N,4805 HELLERMAN ST,2.41678763,PARK,RECREATION_SITE,16697.29296875,568.185513734426
12th and Cambria Playground,12th and Cambria Playground,N,2900 N 12TH ST,2.33737423,PARK,RECREATION_SITE,16136.890625,542.995987421386
Starr Garden Playground,Starr Garden Playground,N,606 LOMBARD ST,2.16683947,PARK,RECREATION_SITE,14935.8671875,507.38239388872603
Womrath Park,Womrath Park,N,4098 FRANKFORD AVE,2.1676801,PARK,SQUARE_PLAZA,14970.4296875,591.72480695132
Thomas I Guerin Recreation Center,Thomas I Guerin Recreation Center,N,2201 S 16TH ST,2.04682161,PARK,RECREATION_SITE,14100.3515625,503.265398262266
Clarkson Park,Clarkson Park,N,5475 N BROAD ST,2.07138192,PARK,SQUARE_PLAZA,14317.015625,797.203312549718
Michael Foglietta Plaza,I-95 Park,Y,109 SPRUCE ST,2.05696837,MANAGED_SITE,SQUARE_PLAZA,14179.3046875,472.509856913831
South Philadelphia Older Adult Center,South Philadelphia Older Adult Center,N,1430 E PASSYUNK AVE,1.87522481,OTHER,OLDER_ADULT_SITE,12921.5625,643.956811949591
Pretzel Park,Pretzel Park,N,4300 SILVERWOOD ST,2.01667123,PARK,NEIGHBORHOOD_PARK,13934.5703125,515.744623118972
A Giuseppe DiSilvestro Playground,A Giuseppe DiSilvestro Playground,N,1700 S BROAD ST,1.99072817,PARK,RECREATION_SITE,13716.3984375,496.542683769698
Penrose Memorial Playground,Penrose Memorial Playground,N,1101 W SUSQUEHANNA AVE,1.70811841,PARK,RECREATION_SITE,11788.83984375,490.485417723402
Charles T Mitchell Jr (Seger) Park,Charles T Mitchell Jr (Seger) Park,N,1020 LOMBARD ST,1.91129728,PARK,RECREATION_SITE,13174.73046875,488.311980321819
Eric N Casiano Field,Eric N Casiano Field,N,2301 N 04TH ST,1.87150518,PARK,SPORTS_COMPLEX,12916.3828125,463.647563908389
Venice Island Performing Arts and Recreation Center,Venice Island Performing Arts and Recreation Center,N,25 LOCK ST,1.6819157,PARK,RECREATION_SITE,11620.73046875,672.453931474764
Hancock Playground,Hancock Playground,N,1403 N HANCOCK ST,1.78341482,PARK,RECREATION_SITE,12303.79296875,469.019609786674
Howard Sayre Morris Recreation Center,Howard Sayre Morris Recreation Center,N,5825 SPRUCE ST,1.60589254,PARK,RECREATION_SITE,11073.7890625,481.115005327726
Reverend Edward P Burke Playground,Reverend Edward P Burke Playground,N,2198 S 2ND ST,1.22289054,PARK,RECREATION_SITE,8423.91796875,372.445920417641
Kay Park,Kay Park,N,4712 PULASKI AVE,1.49309226,PARK,NEIGHBORHOOD_PARK,10315.73828125,411.951804817649
Sherwood Park,Sherwood Park,N,5601 BALTIMORE AVE,1.6474484,PARK,SQUARE_PLAZA,11357.03125,518.381899641831
Howell Park,Howell Park,N,5215 GREENE ST,1.5590139,PARK,NEIGHBORHOOD_PARK,10773.83203125,581.208914508971
Norman (Butch) Ellis Playground,Norman (Butch) Ellis Playground,N,714 N 39TH ST,1.47978435,PARK,RECREATION_SITE,10206.953125,441.982568875332
Michael J Towey Playground,Michael J Towey Playground,N,1866 N HOWARD ST,1.4519721,PARK,RECREATION_SITE,10018.7890625,397.541626554952
Fishtown Recreation Center,Fishtown Recreation Center,N,1222 E MONTGOMERY AVE,1.75309355,PARK,RECREATION_SITE,12094.23046875,690.942097708176
Shot Tower Recreation Center,Shot Tower Recreation Center,N,129 CARPENTER ST,1.43815356,PARK,RECREATION_SITE,9910.80078125,438.47693351037
Marian Winfield Hissey Recreation Center,Marian Winfield Hissey Recreation Center,N,424 E INDIANA AVE,1.44120337,PARK,RECREATION_SITE,9949.09765625,397.405548837208
Shevchenko Park,Shevchenko Park,N,5301 N BROAD ST,1.32062148,PARK,SQUARE_PLAZA,9127.44140625,500.982517941634
Jerome Brown Playground,Jerome Brown Playground,N,1987 W ONTARIO ST,2.5782326,PARK,RECREATION_SITE,17805.03125,878.415470887498
Inn Yard Park,East Fairmount Park,Y,4250 RIDGE AVE,1.41829472,PARK,RECREATION_SITE,9795.2265625,424.160075268695
Ralph R Rizzo Sr Ice Rink,Ralph R Rizzo Sr Ice Rink,N,1001 S FRONT ST,1.975853,PARK,SPORTS_COMPLEX,13615.37890625,516.900862968968
Kelly Pool,West Fairmount Park,Y,4200 LANSDOWNE DR,1.3284154,OTHER,SPORTS_COMPLEX,9166.41015625,397.378588085785
Howard McCall Sr Playground,Howard McCall Sr Playground,N,3007 JEFFERSON ST,1.20242535,PARK,RECREATION_SITE,8297.1640625,365.134231258067
Nelson M Herron Playground and Recreation Center,Nelson M Herron Playground and Recreation Center,N,1322 S 02ND ST,1.11985359,PARK,RECREATION_SITE,7716.3046875,353.934264232
Buist Park,Buist Park,N,2528 HOBSON ST,1.10659092,PARK,SQUARE_PLAZA,7622.265625,357.423856729298
Black Coyle and McBride Playground,Black Coyle and McBride Playground,N,2137 E HAZZARD ST,1.06783619,PARK,RECREATION_SITE,7369.375,455.590481118265
Fairview Park,Fairview Park,N,4418 MANAYUNK AVE,1.0108714,PARK,NEIGHBORHOOD_PARK,6985.78125,335.077426104144
Hawthorne Cultural Center,Hawthorne Cultural Center,N,1200 CARPENTER ST,2.0378878,PARK,RECREATION_SITE,14045.3671875,806.495617102264
Winston Park,Winston Park,N,185 E WILLOW GROVE AVE,1.01515504,TRAFFIC_ISLAND_MEDIAN,NEIGHBORHOOD_PARK,7024.09375,599.428441606015
Konrad Square,Konrad Square,N,2200 E DAUPHIN ST,1.01607809,PARK,SQUARE_PLAZA,7011.234375,334.149991838756
Lincoln Indoor Pool,Lincoln Indoor Pool,N,7437 ROWLAND AVE,0.86936574,OTHER,SPORTS_COMPLEX,6010.015625,434.17943465173
33rd and Wallace Playground,33rd and Wallace Playground,N,3302 WALLACE ST,0.94685551,PARK,RECREATION_SITE,6530.86328125,363.812414983448
Ann P Nichols Park,Ann P Nichols Park,N,5430 RACE ST,0.88560537,PARK,NEIGHBORHOOD_PARK,6108.09765625,328.530252972249
Weccacoe Square,Weccacoe Square,N,425 QUEEN ST,0.90373832,PARK,RECREATION_SITE,6228.53515625,314.661066541575
Frankford and Pennypack Park,Frankford and Pennypack Park,N,4400 PENNYPACK ST,0.91624538,PARK,NEIGHBORHOOD_PARK,6334.9375,322.437897481837
Colonel Thomas J Powers Park,Colonel Thomas J Powers Park,N,2987 ALMOND ST,0.89804708,PARK,SQUARE_PLAZA,6197.375,318.784547895435
Gold Star Park,Gold Star Park,N,613 WHARTON ST,0.8829424,PARK,NEIGHBORHOOD_PARK,6084.29296875,315.620069803287
Hawthorne Park,Hawthorne Park,N,750 S 12TH ST,0.874577,PARK,NEIGHBORHOOD_PARK,6027.99609375,307.76919720315
East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,N,1027 MIFFLIN ST,0.81926792,PARK,RECREATION_SITE,5644.42578125,342.159281010305
Thomas P Stokley Recreation Center,Thomas P Stokley Recreation Center,N,3000 EDGEMONT ST,0.84238024,PARK,RECREATION_SITE,5813.171875,302.214908760668
Cedar Park,Cedar Park,N,4917 BALTIMORE AVE,0.83899018,PARK,SQUARE_PLAZA,5784.00390625,377.916807136564
Waterloo Playground,Waterloo Playground,N,2501 WATERLOO ST,1.03773954,PARK,RECREATION_SITE,7162.67578125,490.133044171304
Tip Top Playground,Tip Top Playground,N,1013 N HOPE ST,0.7863159,PARK,RECREATION_SITE,5423.83203125,316.916464091969
Palmer Park,Palmer Park,N,1701 FRANKFORD AVE,0.81570368,PARK,SQUARE_PLAZA,5627.85546875,292.852521639663
Trenton and Auburn Playground,Trenton and Auburn Playground,N,2222 E AUBURN ST,1.47624243,PARK,NEIGHBORHOOD_PARK,10188.5,539.278306100554
James Otis Ford Playground,James Otis Ford Playground,N,633 SNYDER AVE,0.810065,MANAGED_SITE,RECREATION_SITE,5580.47265625,322.010382527953
Ben Barkan Park,Ben Barkan Park,N,4998 SPRUCE ST,0.78107591,PARK,NEIGHBORHOOD_PARK,5385.62109375,303.834102270317
Charles Baker and Carol Baker Rice Recreation Center,Charles Baker and Carol Baker Rice Recreation Center,N,5433 LANSDOWNE AVE,0.75911097,PARK,RECREATION_SITE,5237.79296875,315.12063127763
8th and Diamond Playground,8th and Diamond Playground,N,2098 N 08TH ST,0.72494786,PARK,RECREATION_SITE,5002.9296875,302.927957165401
Frank S Nelson Jr Memorial Recreation Center,Frank S Nelson Jr Memorial Recreation Center,N,2528 N 03RD ST,0.72068312,PARK,RECREATION_SITE,4974.359375,299.565438605802
Fitler Square,Fitler Square,N,2301 PINE ST,0.72002673,PARK,SQUARE_PLAZA,4963.77734375,292.674706985756
Vincent G Panati Playground,Vincent G Panati Playground,N,3115 N 22ND ST,1.10142493,PARK,RECREATION_SITE,7605.22265625,348.814724272817
Heritage Park Playground,Heritage Park Playground,N,1533 W CLEARFIELD ST,0.65680114,PARK,RECREATION_SITE,4534.95703125,277.777934521341
Frank Glavin Playground,Frank Glavin Playground,N,2612 E WESTMORELAND ST,0.62875915,PARK,RECREATION_SITE,4339.5390625,260.946765814673
Marie Winchester Playground,Marie Winchester Playground,N,2326 N 15TH ST,0.61297534,PARK,RECREATION_SITE,4230.8984375,303.327862941817
Triangle Park,Triangle Park,N,5419 UPLAND WAY,0.61991909,PARK,NEIGHBORHOOD_PARK,4278.1484375,314.515689847466
Cianfrani Park,Cianfrani Park,N,721 S 08TH ST,0.60877138,PARK,SQUARE_PLAZA,4195.953125,272.069295858669
Garden Court,Garden Court,N,4710 SPRUCE ST,0.58517161,PARK,GARDEN_FARM,4034.7734375,273.334297122756
Clayborne and Lewis Playground,Clayborne and Lewis Playground,N,1101 N 38TH ST,0.59067472,PARK,RECREATION_SITE,4075.13671875,255.457752881542
Gerald J Maguire Playground,Gerald J Maguire Playground,N,155 W LEHIGH AVE,0.56109426,PARK,RECREATION_SITE,3873.11328125,260.697503280366
Sabatino La Noce Park,Sabatino La Noce Park,N,5119 ROCHELLE AVE,0.63945635,PARK,NEIGHBORHOOD_PARK,4417.41015625,267.56965196021
Mario Lanza Park,Mario Lanza Park,N,214 CATHARINE ST,0.50691821,PARK,SQUARE_PLAZA,3493.6015625,257.62950194252
37th and Mount Vernon Playground,37th and Mount Vernon Playground,N,614 N 37TH ST,0.47816674,PARK,RECREATION_SITE,3298.01953125,264.141831512105
James L Wright Playground,James L Wright Playground,N,3340 HAVERFORD AVE,0.46471748,PARK,RECREATION_SITE,3205.25390625,281.150482688567
Hagert Street Playground,Hagert Street Playground,N,2034 E HAGERT ST,0.48635301,PARK,RECREATION_SITE,3356.390625,246.189236151399
Ramblers Recreation Center,Ramblers Recreation Center,N,851 E TIOGA ST,3.10314824,MANAGED_SITE,SPORTS_COMPLEX,21427.109375,852.660620155982
Lloyd Hall Recreation Center,East Fairmount Park,Y,800 KELLY DR,1.3583829,PARK,RECREATION_SITE,9370.39453125,381.57498243839
Wilmot Park,Wilmot Park,N,1801 MEADOW ST,0.42003749,PARK,NEIGHBORHOOD_PARK,2901.28515625,238.741410120594
Emanuel Weinberg Park,Emanuel Weinberg Park,N,2205 S 06TH ST,0.42156817,TRAFFIC_ISLAND_MEDIAN,NEIGHBORHOOD_PARK,2904.015625,251.829964575145
Corporal George J Reed Jr Memorial Playground,Corporal George J Reed Jr Memorial Playground,N,213 W ONTARIO ST,0.39665047,PARK,NEIGHBORHOOD_PARK,2738.87109375,222.705225534063
Wissahickon Neighbors Playground,Wissahickon Neighbors Playground,N,3901 TERRACE ST,0.39599126,PARK,NEIGHBORHOOD_PARK,2735.8359375,207.744401159926
Louis I Kahn Park,Louis I Kahn Park,N,328 S 11TH ST,0.38831797,PARK,SQUARE_PLAZA,2676.828125,265.758044447431
Benson Park,Benson Park,N,1444 N 04TH ST,0.39455089,PARK,NEIGHBORHOOD_PARK,2722.04296875,266.828588477352
Christ Church Park,Christ Church Park,N,35 N 02ND ST,0.13202668,MANAGED_SITE,HISTORIC_SITE,910.2734375,146.123074512959
John (Steve) Schmidt Playground,John (Steve) Schmidt Playground,N,113 W ONTARIO ST,0.36659651,PARK,RECREATION_SITE,2531.32421875,223.887683280428
Edward Shippen Plaza (Bainbridge Green),Edward Shippen Plaza (Bainbridge Green),N,300 BAINBRIDGE ST,0.34839707,TRAFFIC_ISLAND_MEDIAN,SQUARE_PLAZA,2401.3046875,738.797591528783
Market Square Park,Market Square Park,N,5501 GERMANTOWN AVE,0.34663528,PARK,SQUARE_PLAZA,2395.7421875,214.115994902299
Northeast Lions Park,Northeast Lions Park,N,7966 OXFORD AVE,0.38465705,TRAFFIC_ISLAND_MEDIAN,SQUARE_PLAZA,2661.82421875,203.962463938638
Hedge Street Park,Hedge Street Park,N,4610 HEDGE ST,0.3152331,PARK,NEIGHBORHOOD_PARK,2177.42578125,189.598088396283
Etting Park,Etting Park,N,3255 N MARSTON ST,0.3088643,PARK,SQUARE_PLAZA,2132.92578125,183.57172969047
Strawberry Mansion Playground,Strawberry Mansion Playground,N,3369 RIDGE AVE,0.38469129,PARK,NEIGHBORHOOD_PARK,2655.703125,209.174288925439
Julian Abele Park,Julian Abele Park,N,923 S 22ND ST,0.28605084,PARK,NEIGHBORHOOD_PARK,1971.62109375,183.470862212676
Ralph Brooks Park,Ralph Brooks Park,N,1601 S 20TH ST,0.2854354,PARK,NEIGHBORHOOD_PARK,1966.83203125,189.850115357403
Gilbert Stuart Park,Gilbert Stuart Park,N,5132 GERMANTOWN AVE,0.28774015,PARK,SQUARE_PLAZA,1988.4921875,176.376338047382
West Oak Lane Senior Center,West Oak Lane Senior Center,N,7210 OGONTZ AVE,0.2288807,OTHER,OLDER_ADULT_SITE,1583.29296875,159.240281504153
Mummers Museum,Mummers Museum,N,200 WASHINGTON AVE,0.24996743,MANAGED_SITE,MUSEUM_CAMPUS,1722.53125,174.472912405567
Diamond Park,Diamond Park,N,2045 N 18TH ST,0.24762491,PARK,SQUARE_PLAZA,1708.98046875,162.45268820575
Ned Wolf Park,Ned Wolf Park,N,7018 MC CALLUM ST,0.24681906,PARK,SQUARE_PLAZA,1706.609375,180.434727343576
