public_name,parent_name,nested,address_911,acreage,property_classification,ppr_use,park_area,park_length
Blue Bell Park,Wissahickon Valley Park,Y,844 W WALNUT LN,8.33085041,PARK,NATURE_AREA,57575.30078125,1502.75967776683
Saul High School Farm,Wissahickon Valley Park,Y,7107 HENRY AVE,35.30503938,MANAGED_SITE,GARDEN_FARM,244124.234375,4300.97455858345
Parkwood,Parkwood,N,3359 MECHANICSVILLE RD,30.68184386,MANAGED_SITE,RECREATION_SITE,212493.07421875,2064.96541275562
American Swedish Historical Museum,Franklin Delano Roosevelt Park,Y,1900 PATTISON AVE,1.67415347,MANAGED_SITE,MUSEUM_CAMPUS,11527.33203125,455.637191307774
Andorra Natural Area,Wissahickon Valley Park,Y,9750 FORBIDDEN DR,155.61328324,PARK,NATURE_AREA,1076923.7109375,6222.67398985384
Cobbs Creek Community Environmental Center,Cobbs Creek Park,Y,700 COBBS CREEK PKWY,1.45077158,OTHER,ENVIRONMENTAL_EDUCATION_CENTER,10002.75390625,597.832117044684
Saylors Grove,Wissahickon Valley Park,Y,669 W RITTENHOUSE ST,3.31909025,PARK,SQUARE_PLAZA,22933.0390625,724.45866822862
Waverly Street Community Garden,Waverly Street Community Garden,N,1131 WAVERLY ST,0.0927526,URBAN_AGRICULTURE,GARDEN_FARM,639.37109375,110.819503351231
3rd and Norris Playground,3rd and Norris Playground,N,273 W NORRIS ST,0.23280938,PARK,NEIGHBORHOOD_PARK,1606.5546875,165.153672078271
Howard and Reed Park,Howard and Reed Park,N,105 REED ST,0.07930873,PARK,SQUARE_PLAZA,546.47265625,92.3139252067959
Sartain Garden,Sartain Garden,N,201 S SARTAIN ST,0.08407544,URBAN_AGRICULTURE,GARDEN_FARM,579.6015625,104.18541205093
South Street Community Garden,South Street Community Garden,N,839 SOUTH ST,0.20561013,URBAN_AGRICULTURE,GARDEN_FARM,1417.2421875,154.384772822428
Brewerytown Garden,Brewerytown Garden,N,1341 N 27TH ST,0.47675355,URBAN_AGRICULTURE,GARDEN_FARM,3289.50390625,357.616128481153
Discovery Center at East Fairmount Reservoir,East Fairmount Park,Y,3395 RESERVOIR DR,51.19320334,MANAGED_SITE,EVENT_SPACE,353306.3515625,2752.23241760447
Boathouse Row,East Fairmount Park,Y,870 KELLY DR,4.22572987,MANAGED_SITE,HISTORIC_SITE,29150.5234375,1199.69685984584
Lucien E Blackwell Park,Lucien E Blackwell Park,N,4615 FAIRMOUNT AVE,2.05984146,PARK,NEIGHBORHOOD_PARK,14207.46875,482.730046532594
Fish Hatchery at Pleasant Hill Park,Pleasant Hill Park,Y,9201 N DELAWARE AVE,37.53172166,PARK,RECREATION_SITE,259459.00390625,3119.59221387113
Vine Street Park (95),Vine Street Park,Y,VINE STREET EXP,7.16199688,TRAFFIC_ISLAND_MEDIAN,GREENWAY,49387.33203125,3601.83525415758
Burholme Park Driving Range,Burholme Park,Y,401 W COTTMAN AVE,12.33293663,MANAGED_SITE,GOLF,85322.6875,1178.90286050982
West Penn Park,West Penn Park,N,353 W PENN ST,0.09678958,PARK,NEIGHBORHOOD_PARK,668.7578125,104.538957325693
Peters Island,Peters Island,N,,1.91202222,CONSERVATION,NATURE_AREA,13178.859375,668.192553646701
Officer Robert Hayes Memorial Playground,Officer Robert Hayes Memorial Playground,N,9949 PRESIDENT ST,20.17329781,PARK,RECREATION_SITE,139660,1698.90227731128
Ivy Ridge Greenway,Ivy Ridge Greenway,N,4850 UMBRIA ST,3.66853243,OTHER,OTHER,25352.66015625,2593.64472795697
Dr Martin Luther King Jr Older Adult Center,Dr Martin Luther King Jr Older Adult Center,N,2102 W CECIL B MOORE AVE,0.33109929,OTHER,OLDER_ADULT_SITE,2284.71875,197.56380069749
Dr Martin Luther King Jr Recreation Center,Dr Martin Luther King Jr Recreation Center,N,2101 W CECIL B MOORE AVE,5.25372097,PARK,RECREATION_SITE,36254.109375,760.502501409685
Devereaux Ave Trailhead at K and T Trail,Devereaux Ave Trailhead at K and T Trail,N,5298 DEVEREAUX AVE,0.24867625,OTHER,OTHER,1717.64453125,180.743253610971
Basilica Green,Benjamin Franklin Parkway,Y,1773 RACE ST,0.23518674,MANAGED_SITE,OTHER,1621.734375,165.433982013095
31st and York Courts,31st and York Courts,N,3101 W YORK ST,0.22689692,PARK,SPORTS_COMPLEX,1566.27734375,166.361882204006
31st and Cumberland Play Lot,31st and Cumberland Play Lot,N,2462 N 31ST ST,0.20888698,PARK,NEIGHBORHOOD_PARK,1442.02734375,160.101189231669
31st and Huntingdon Play Lot,31st and Huntingdon Play Lot,N,2550 N 31ST ST,0.22439763,PARK,NEIGHBORHOOD_PARK,1549.15234375,171.781001166144
Carpenter Green Park,Carpenter Green Park,N,920 S 17TH ST,0.28240523,MANAGED_SITE,SQUARE_PLAZA,1946.3515625,184.887552760388
South Philadelphia High School Park,South Philadelphia High School Park,N,2125 S BROAD ST,0.49027023,PARK,NEIGHBORHOOD_PARK,3377.4921875,445.932478250948
Fletcher B Amos Playground,Fletcher B Amos Playground,N,1843 N 16TH ST,1.01672491,PARK,RECREATION_SITE,7016.1796875,383.238357234552
Vine Street Park (676 East),Vine Street Park,Y,VINE STREET EXP,1.42806971,TRAFFIC_ISLAND_MEDIAN,GREENWAY,9847.80078125,4402.45938264694
Vine Street Park (676 West),Vine Street Park,Y,VINE STREET EXP,3.27800726,TRAFFIC_ISLAND_MEDIAN,GREENWAY,22605.546875,4699.370879245
Fernhill Park,Fernhill Park,N,4600 MORRIS ST,42.61907835,PARK,RECREATION_SITE,294423.9609375,4327.84189843454
School District Area (Gorgas),Susan Gorgas Park,Y,,8.44687675,MANAGED_SITE,SPORTS_COMPLEX,58381.99609375,986.309217848433
Susan Gorgas Park,Susan Gorgas Park,Y,6424 RIDGE AVE,12.67557668,PARK,NEIGHBORHOOD_PARK,87611.984375,1246.79451550417
Northeast Older Adult Center,George C Pelbano Playground,Y,2138 SOLLY AVE,0.64746754,OTHER,OLDER_ADULT_SITE,4478.6640625,271.49066626012
Mann Center for the Performing Arts,West Fairmount Park,Y,5038 AVENUE OF THE REPUBLIC,20.33720311,MANAGED_SITE,EVENT_SPACE,140351.00390625,1958.7703540994
